time,cD,cL
1.953,2.96006,0.0741016
1.954,2.96939,0.0922248
1.955,2.95887,0.103999
1.956,2.96448,0.12149
1.957,2.96869,0.126507
1.958,2.95993,0.123617
1.959,2.96699,0.186315
1.96,2.95174,0.181224
1.961,2.95077,0.181989
1.962,2.96229,0.188696
1.963,2.96218,0.189341
1.964,2.96017,0.194125
1.965,2.95606,0.191788
1.966,2.97219,0.234527
1.967,2.96423,0.236968
1.968,2.96454,0.242262
1.969,2.94052,0.273213
1.97,2.95785,0.284969
1.971,2.94548,0.278616
1.972,2.9746,0.294939
1.973,2.96539,0.297411
1.974,2.9576,0.321938
1.975,2.94464,0.315129
1.976,2.96491,0.337187
1.977,2.96321,0.340404
1.978,2.95606,0.352215
1.979,2.96377,0.36717
1.98,2.95525,0.376539
1.981,2.96467,0.387428
1.982,2.9643,0.394847
1.983,2.95304,0.406276
1.984,2.96547,0.410801
1.985,2.96319,0.417661
1.986,2.95785,0.436915
1.987,2.97245,0.444637
1.988,2.96556,0.43951
1.989,2.96442,0.464555
1.99,2.97581,0.456879
1.991,2.97028,0.471708
1.992,2.97007,0.472709
1.993,2.96769,0.488278
1.994,2.98166,0.498677
1.995,2.97503,0.503239
1.996,2.97848,0.513873
1.997,2.97895,0.51504
1.998,2.97855,0.530974
1.999,2.97494,0.532271
2,2.9821,0.536821
2.001,2.97798,0.540854
2.002,2.97666,0.562458
2.003,2.98666,0.564604
2.004,2.97639,0.568101
2.005,2.98568,0.588763
2.006,2.97785,0.578322
2.007,2.98286,0.589746
2.008,2.97831,0.594438
2.009,2.98495,0.61262
2.01,2.9831,0.610368
2.011,2.99413,0.622721
2.012,2.98037,0.61596
2.013,2.9896,0.635828
2.014,2.98549,0.630547
2.015,2.99369,0.641428
2.016,2.9851,0.649679
2.017,2.99808,0.66009
2.018,2.99405,0.655114
2.019,2.99375,0.656712
2.02,3.00558,0.676093
2.021,3.02141,0.687462
2.022,3.0232,0.68965
2.023,3.00154,0.675257
2.024,3.00087,0.674618
2.025,2.9991,0.672687
2.026,3.02279,0.705895
2.027,3.02506,0.709298
2.028,2.99648,0.676464
2.029,2.99509,0.675351
2.03,3.01476,0.699345
2.031,3.01572,0.701163
2.032,3.00481,0.689054
2.033,3.00289,0.715085
2.034,3.01171,0.698938
2.035,3.01019,0.688911
2.036,3.0253,0.671906
2.037,3.03423,0.677615
2.038,3.02792,0.677782
2.039,3.0297,0.678554
2.04,3.02838,0.682463
2.041,3.02501,0.677629
2.042,3.0242,0.677824
2.043,3.02336,0.670315
2.044,3.02017,0.671476
2.045,3.03474,0.670455
2.046,3.02888,0.660013
2.047,3.02963,0.660245
2.048,3.02429,0.664634
2.049,3.02065,0.647841
2.05,3.03192,0.65528
2.051,3.02609,0.646048
2.052,3.02499,0.645651
2.053,3.06817,0.652711
2.054,3.04541,0.625336
2.055,3.04388,0.636188
2.056,3.03017,0.619497
2.057,3.03228,0.614576
2.058,3.04731,0.618688
2.059,3.04149,0.595988
2.06,3.05433,0.606111
2.061,3.02499,0.538461
2.062,3.04573,0.535942
2.063,3.04527,0.535327
2.064,3.04852,0.540678
2.065,3.04308,0.533844
2.066,3.04199,0.533412
2.067,3.05332,0.53754
2.068,3.05411,0.538501
2.069,3.04462,0.528735
2.07,3.04393,0.528455
2.071,3.0533,0.533858
2.072,3.04571,0.527058
2.073,3.02081,0.481926
2.074,3.03583,0.474499
2.075,3.02459,0.462633
2.076,3.03911,0.454538
2.077,3.03323,0.445777
2.078,3.03302,0.413569
2.079,3.04295,0.415209
2.08,3.03457,0.40693
2.081,3.049,0.382025
2.082,3.03804,0.371272
2.083,3.04368,0.373892
2.084,3.04925,0.354743
2.085,3.04051,0.347263
2.086,3.04071,0.333264
2.087,3.04324,0.327089
2.088,3.04286,0.30422
2.089,3.0479,0.297843
2.09,3.04464,0.285138
2.091,3.04253,0.279731
2.092,3.03945,0.254912
2.093,3.04062,0.229325
2.094,3.04022,0.227679
2.095,3.04625,0.242315
2.096,3.03313,0.204075
2.097,3.0442,0.204369
2.098,3.03361,0.179647
2.099,3.03817,0.184328
2.1,3.03218,0.166139
2.101,3.0341,0.161079
2.102,3.02678,0.133851
2.103,3.03187,0.141403
2.104,3.02369,0.113054
2.105,3.02936,0.118531
2.106,3.01552,-0.00650973
2.107,3.01574,-0.00860242
2.108,3.00987,0.00371681
2.109,3.00021,-0.00515238
2.11,2.99882,-0.00641277
2.111,3.01831,-0.00512146
2.112,3.00926,-0.0170751
2.113,3.00865,-0.0181482
2.114,3.01467,-0.0158038
2.115,3.01542,-0.0158135
2.116,3.00609,-0.0248781
2.117,3.00529,-0.0255652
2.118,3.01457,-0.0244117
2.119,3.01031,-0.139017
2.12,3.01567,-0.128346
2.121,3.01575,-0.135995
2.122,3.03042,-0.122277
2.123,3.03129,-0.18351
2.124,3.02754,-0.182879
2.125,3.03052,-0.274327
2.126,3.03665,-0.251174
2.127,3.0451,-0.256853
2.128,3.03693,-0.258592
2.129,3.03991,-0.263877
2.13,3.03714,-0.292077
2.131,3.03037,-0.29521
2.132,3.0091,-0.344316
2.133,3.00679,-0.338181
2.134,3.00615,-0.340295
2.135,3.01229,-0.335426
2.136,3.0063,-0.345266
2.137,2.99996,-0.382217
2.138,2.99859,-0.37341
2.139,2.99399,-0.380622
2.14,2.98429,-0.391024
2.141,2.98865,-0.431149
2.142,2.9828,-0.4242
2.143,2.98639,-0.429078
2.144,2.97762,-0.468031
2.145,2.97694,-0.47176
2.146,2.98348,-0.481162
2.147,2.98979,-0.501365
2.148,2.99706,-0.49594
2.149,2.98485,-0.497922
2.15,2.9979,-0.522203
2.151,2.99491,-0.525533
2.152,3.0055,-0.537025
2.153,3.00474,-0.554253
2.154,3.01315,-0.556804
2.155,3.01113,-0.572121
2.156,3.04989,-0.647809
2.157,3.0432,-0.65114
2.158,3.04319,-0.653553
2.159,3.047,-0.647729
2.16,3.04844,-0.648735
2.161,3.02728,-0.649905
2.162,3.03249,-0.641901
2.163,3.03317,-0.64259
2.164,3.02634,-0.651324
2.165,3.03533,-0.649492
2.166,3.03131,-0.656551
2.167,3.02752,-0.702433
2.168,3.01015,-0.700812
2.169,2.97347,-0.664794
2.17,2.98974,-0.677425
2.171,2.97669,-0.679759
2.172,3.01362,-0.704067
2.173,2.96824,-0.696654
2.174,2.99144,-0.729576
2.175,2.96631,-0.730224
2.176,2.99235,-0.744177
2.177,2.98529,-0.743079
2.178,2.97954,-0.747126
2.179,3.02942,-0.774821
2.18,3.01472,-0.773825
2.181,3.01824,-0.764338
2.182,3.01943,-0.765136
2.183,3.01024,-0.771757
2.184,3.01537,-0.768239
2.185,3.03698,-0.77603
2.186,3.0401,-0.784797
2.187,3.07034,-0.796176
2.188,3.05801,-0.80103
2.189,3.06247,-0.790485
2.19,3.05546,-0.798796
2.191,3.03936,-0.779819
2.192,3.05426,-0.789169
2.193,3.05987,-0.792468
2.194,3.06042,-0.793265
2.195,3.04241,-0.795871
2.196,3.04749,-0.793076
2.197,3.02654,-0.80447
2.198,3.03337,-0.80063
2.199,3.03451,-0.800971
2.2,3.02263,-0.807801
2.201,3.02896,-0.799823
2.202,3.03009,-0.800208
2.203,3.0202,-0.805703
2.204,3.0061,-0.797376
2.205,3.03318,-0.805569
2.206,3.03252,-0.803647
2.207,3.01294,-0.804588
2.208,3.02702,-0.802014
2.209,3.02758,-0.808762
2.21,3.04231,-0.801084
2.211,3.04079,-0.790477
2.212,3.03636,-0.794593
2.213,3.04998,-0.777731
2.214,3.04862,-0.776494
2.215,3.05044,-0.766516
2.216,3.0512,-0.752838
2.217,3.06258,-0.747523
2.218,3.0527,-0.732493
2.219,3.06817,-0.727782
2.22,3.05586,-0.711341
2.221,3.06111,-0.71256
2.222,3.0757,-0.688881
2.223,3.06348,-0.680217
2.224,3.06333,-0.680584
2.225,3.06872,-0.678
2.226,3.08254,-0.636184
2.227,3.06568,-0.627079
2.228,3.06599,-0.62668
2.229,3.06591,-0.630256
2.23,3.0647,-0.630966
2.231,3.07632,-0.623117
2.232,3.07698,-0.622905
2.233,3.0784,-0.622313
2.234,3.06591,-0.628459
2.235,3.08656,-0.604262
2.236,3.05405,-0.595351
2.237,3.06936,-0.599283
2.238,3.06116,-0.590279
2.239,3.05316,-0.582855
2.24,3.0544,-0.572005
2.241,3.03372,-0.517146
2.242,3.01475,-0.51336
2.243,3.01165,-0.513831
2.244,3.04545,-0.504501
2.245,3.04652,-0.503838
2.246,3.0267,-0.509442
2.247,3.03892,-0.496857
2.248,3.03862,-0.497186
2.249,3.08354,-0.42567
2.25,3.07409,-0.428947
2.251,3.08688,-0.429851
2.252,3.0368,-0.443384
2.253,3.06471,-0.40615
2.254,3.06273,-0.394934
2.255,3.05302,-0.394388
2.256,3.07049,-0.347269
2.257,3.05779,-0.353084
2.258,3.06282,-0.349084
2.259,3.05801,-0.330694
2.26,3.07037,-0.326057
2.261,3.08484,-0.249551
2.262,3.05749,-0.261425
2.263,3.05578,-0.261377
2.264,3.07825,-0.249987
2.265,3.0803,-0.248304
2.266,3.05955,-0.256884
2.267,3.06335,-0.249831
2.268,3.00159,-0.208681
2.269,2.98512,-0.210136
2.27,3.01198,-0.199856
2.271,3.04096,-0.153773
2.272,3.06422,-0.152056
2.273,3.03839,-0.147053
2.274,3.04108,-0.09841
2.275,3.04723,-0.0998775
2.276,3.05011,-0.0643265
2.277,3.06501,-0.064494
2.278,3.03162,-0.0519204
2.279,3.04117,-0.0387713
2.28,3.02966,-0.0314164
2.281,3.03238,-0.0119901
2.282,3.03329,-0.00324483
2.283,3.03956,0.0193431
2.284,3.05525,0.0489603
2.285,3.04097,0.0543648
2.286,3.05162,0.0599331
2.287,3.04459,0.131052
2.288,3.05432,0.126602
2.289,3.0551,0.127725
2.29,3.04553,0.1343
2.291,3.04533,0.136333
2.292,3.05808,0.136206
2.293,3.03555,0.154353
2.294,3.03154,0.216411
2.295,3.01947,0.216365
2.296,3.02472,0.223279
2.297,3.03351,0.269096
2.298,3.02428,0.25408
2.299,3.02711,0.268407
2.3,3.0292,0.266677
2.301,3.02214,0.322835
2.302,3.04596,0.313791
2.303,3.03273,0.321527
2.304,3.03477,0.346715
2.305,3.01957,0.34265
2.306,3.02512,0.375951
2.307,3.008,0.406121
2.308,3.01125,0.427026
2.309,3.01127,0.428317
2.31,3.01024,0.429114
2.311,3.02977,0.476383
2.312,3.02382,0.456497
2.313,3.0238,0.46527
2.314,3.0306,0.504921
2.315,3.03183,0.498818
2.316,3.04095,0.524653
2.317,3.04835,0.549195
2.318,3.03902,0.549453
2.319,3.03839,0.549982
2.32,3.047,0.559955
2.321,3.02479,0.576462
2.322,3.03974,0.595797
2.323,3.02802,0.574697
2.324,3.04387,0.593609
2.325,3.02086,0.605816
2.326,3.0431,0.614213
2.327,3.04083,0.697345
2.328,3.03449,0.671002
2.329,3.03407,0.67145
2.33,3.0397,0.68912
2.331,3.03577,0.675949
2.332,3.03566,0.676772
2.333,3.03751,0.685613
2.334,3.03507,0.683156
2.335,3.03512,0.684475
2.336,3.03926,0.709003
2.337,3.02114,0.70248
2.338,3.03671,0.730869
2.339,3.03477,0.755735
2.34,3.04036,0.768512
2.341,3.04594,0.780947
2.342,3.03632,0.771012
2.343,3.04478,0.786291
2.344,3.0411,0.789661
2.345,3.04377,0.800546
2.346,3.04483,0.809598
2.347,3.03472,0.809807
2.348,3.04291,0.804783
2.349,3.02339,0.822971
2.35,3.03768,0.835682
2.351,3.03893,0.837885
2.352,3.02447,0.829432
2.353,3.0355,0.834607
2.354,3.0309,0.829795
2.355,3.0382,0.83366
2.356,3.05629,0.815047
2.357,3.06418,0.825005
2.358,3.06635,0.865936
2.359,3.05689,0.857926
2.36,3.05513,0.8651
2.361,3.05527,0.871883
2.362,3.04663,0.873285
2.363,3.05495,0.879287
2.364,3.03995,0.871344
2.365,3.03358,0.863284
2.366,3.03311,0.867601
2.367,3.03794,0.870749
2.368,3.04127,0.86658
2.369,3.03341,0.862824
2.37,3.03563,0.859358
2.371,3.04664,0.845919
2.372,3.04082,0.849869
2.373,3.04542,0.856179
2.374,3.04668,0.864061
2.375,3.04373,0.845719
2.376,3.04304,0.850621
2.377,3.04384,0.848984
2.378,3.04792,0.840744
2.379,3.05107,0.841866
2.38,3.057,0.82379
2.381,3.05717,0.82412
2.382,3.0582,0.824398
2.383,3.04945,0.826548
2.384,3.04841,0.826412
2.385,3.05976,0.831756
2.386,3.06683,0.803248
2.387,3.05164,0.814445
2.388,3.05735,0.802803
2.389,3.05484,0.779776
2.39,3.04508,0.775934
2.391,3.05354,0.778994
2.392,3.05571,0.743385
2.393,3.04392,0.74041
2.394,3.05654,0.740251
2.395,3.04797,0.742762
2.396,3.05305,0.733684
2.397,3.03901,0.731948
2.398,3.04928,0.700582
2.399,3.04993,0.684139
2.4,3.04237,0.681703
2.401,3.05127,0.683344
2.402,3.04668,0.679125
2.403,3.05328,0.659983
2.404,3.05433,0.639271
2.405,3.05219,0.642872
2.406,3.05153,0.622609
2.407,3.05407,0.615624
2.408,3.05101,0.597057
2.409,3.05174,0.532921
2.41,3.06249,0.533718
2.411,3.0633,0.534561
2.412,3.05362,0.518709
2.413,3.05316,0.517431
2.414,3.05997,0.528123
2.415,3.06057,0.529755
2.416,3.05417,0.510207
2.417,3.0582,0.511943
2.418,3.06179,0.4076
2.419,3.04839,0.39693
2.42,3.0724,0.415652
2.421,3.06296,0.397687
2.422,3.05845,0.389487
2.423,3.05599,0.376066
2.424,3.05108,0.326697
2.425,3.05548,0.338605
2.426,3.05403,0.325863
2.427,3.04732,0.288616
2.428,3.05843,0.28755
2.429,3.04825,0.282615
2.43,3.05467,0.276879
2.431,3.04545,0.233372
2.432,3.04974,0.202493
2.433,3.05006,0.201492
2.434,3.0422,0.201882
2.435,3.0502,0.202301
2.436,3.04991,0.191016
2.437,3.04957,0.126716
2.438,3.05519,0.129693
2.439,3.04577,0.120699
2.44,3.0553,0.120489
2.441,3.05023,0.11312
2.442,3.06437,0.0484418
2.443,3.05259,0.0457036
2.444,3.06319,0.0361909
2.445,3.0635,0.0103795
2.446,3.05494,0.00783509
2.447,3.05218,0.00890024
2.448,3.05806,-0.00782037
2.449,3.06635,-0.0425941
2.45,3.04614,-0.0655241
2.451,3.05165,-0.0717196
2.452,3.06227,-0.0984368
2.453,3.04622,-0.102935
2.454,3.05517,-0.136532
2.455,3.05734,-0.137331
2.456,3.04048,-0.184394
2.457,3.05178,-0.194693
2.458,3.0527,-0.204971
2.459,3.05213,-0.206197
2.46,3.05736,-0.207163
2.461,3.05627,-0.278061
2.462,3.06164,-0.278048
2.463,3.06087,-0.27992
2.464,3.05525,-0.282893
2.465,3.03754,-0.314417
2.466,3.05672,-0.327266
2.467,3.05236,-0.349843
2.468,3.05984,-0.35531
2.469,3.05488,-0.392055
2.47,3.05341,-0.400446
2.471,3.06184,-0.418753
2.472,3.04796,-0.432774
2.473,3.05393,-0.454165
2.474,3.05113,-0.454386
2.475,3.05233,-0.531909
2.476,3.06073,-0.521992
2.477,3.06206,-0.522842
2.478,3.06419,-0.522931
2.479,3.03922,-0.543943
2.48,3.03746,-0.546414
2.481,3.06229,-0.533369
2.482,3.04624,-0.56029
2.483,3.06252,-0.59974
2.484,3.06862,-0.600929
2.485,3.05122,-0.622421
2.486,3.06242,-0.622519
2.487,3.06023,-0.630804
2.488,3.06643,-0.659678
2.489,3.05498,-0.662571
2.49,3.06055,-0.672923
2.491,3.05351,-0.708781
2.492,3.06156,-0.69911
2.493,3.05835,-0.707816
2.494,3.05874,-0.721895
2.495,3.06758,-0.734145
2.496,3.056,-0.748168
2.497,3.06254,-0.751951
2.498,3.0551,-0.830356
2.499,3.06516,-0.813859
2.5,3.06636,-0.815405
2.501,3.05434,-0.821825
2.502,3.05353,-0.823539
2.503,3.05182,-0.825299
2.504,3.06816,-0.824533
2.505,3.06973,-0.825094
2.506,3.0532,-0.834466
2.507,3.05228,-0.83594
2.508,3.06326,-0.833709
2.509,3.0637,-0.834081
2.51,3.07128,-0.909668
2.511,3.07557,-0.866106
2.512,3.06174,-0.88242
2.513,3.06907,-0.879692
2.514,3.05625,-0.885421
2.515,3.03975,-0.887276
2.516,3.0378,-0.915298
2.517,3.04631,-0.90747
2.518,3.07471,-0.927737
2.519,3.08375,-0.925008
2.52,3.07429,-0.927996
2.521,3.08614,-0.928194
2.522,3.08152,-0.946131
2.523,3.08231,-0.947871
2.524,3.08236,-0.931747
2.525,3.07083,-0.950272
2.526,3.07816,-0.940977
2.527,3.07705,-0.930299
2.528,3.06406,-0.947473
2.529,3.07322,-0.967373
2.53,3.05679,-0.961985
2.531,3.05458,-0.954936
2.532,3.04898,-0.962317
2.533,3.04223,-0.967052
2.534,3.05009,-0.95941
2.535,3.04635,-0.945851
2.536,3.04796,-0.948794
2.537,3.04526,-0.94807
2.538,3.05341,-0.938297
2.539,3.06104,-0.932451
2.54,3.0726,-0.931709
2.541,3.06745,-0.931057
2.542,3.07487,-0.924372
2.543,3.07967,-0.929852
2.544,3.08792,-0.910764
2.545,3.07748,-0.924054
2.546,3.0862,-0.920488
2.547,3.08685,-0.920903
2.548,3.08082,-0.923706
2.549,3.08455,-0.900996
2.55,3.07054,-0.913396
2.551,3.07824,-0.903431
2.552,3.05914,-0.908482
2.553,3.0499,-0.880095
2.554,3.05777,-0.868976
2.555,3.04551,-0.877288
2.556,3.04476,-0.878119
2.557,3.04405,-0.871795
2.558,3.04356,-0.857337
2.559,3.04787,-0.853716
2.56,3.05191,-0.841271
2.561,3.04598,-0.84671
2.562,3.05503,-0.839425
2.563,3.05697,-0.823966
2.564,3.06,-0.806092
2.565,3.05901,-0.801814
2.566,3.06442,-0.755669
2.567,3.06047,-0.761102
2.568,3.06008,-0.761611
2.569,3.06396,-0.754601
2.57,3.0469,-0.756079
2.571,3.05549,-0.726911
2.572,3.04653,-0.726891
2.573,3.04498,-0.711228
2.574,3.04009,-0.684377
2.575,3.04383,-0.683577
2.576,3.01088,-0.62533
2.577,3.02317,-0.589739
2.578,3.02386,-0.588079
2.579,3.012,-0.603733
2.58,3.01014,-0.605378
2.581,3.02775,-0.582793
2.582,3.02303,-0.584273
2.583,3.05905,-0.531179
2.584,3.06787,-0.507335
2.585,3.04324,-0.513683
2.586,3.04714,-0.510438
2.587,3.04279,-0.495723
2.588,3.04475,-0.484797
2.589,3.03594,-0.489595
2.59,3.04958,-0.428906
2.591,3.05086,-0.426814
2.592,3.04176,-0.432823
2.593,3.04346,-0.386663
2.594,3.03339,-0.402876
2.595,3.03555,-0.386429
2.596,3.03051,-0.355049
2.597,3.02671,-0.358945
2.598,3.01542,-0.353514
2.599,3.01313,-0.298144
2.6,3.00153,-0.29796
2.601,3.00657,-0.29939
2.602,3.00183,-0.297517
2.603,3.00705,-0.157885
2.604,3.0046,-0.143108
2.605,3.00157,-0.150715
2.606,2.99808,-0.142055
2.607,2.99505,-0.150385
2.608,2.97028,-0.140227
2.609,2.9852,-0.14146
2.61,2.97965,-0.129923
2.611,3.0523,-0.0486595
2.612,3.02162,-0.0507815
2.613,3.02003,-0.0415245
2.614,3.01117,-0.039136
2.615,2.9971,-0.0399152
2.616,2.99204,-0.0208194
2.617,3.01166,-0.00345959
2.618,3.02457,0.0212763
2.619,3.02646,0.040517
2.62,3.0169,0.113058
2.621,3.02791,0.127414
2.622,3.05152,0.138149
2.623,3.04352,0.155319
2.624,3.0181,0.160254
2.625,3.02429,0.168807
2.626,3.01333,0.164957
2.627,3.02247,0.173741
2.628,3.018,0.211184
2.629,3.01398,0.215794
2.63,2.99178,0.234511
2.631,2.98749,0.234196
2.632,2.99492,0.268704
2.633,2.97757,0.283589
2.634,2.98298,0.307075
2.635,2.97618,0.323778
2.636,2.98516,0.344214
2.637,2.97886,0.354218
2.638,2.99049,0.377925
2.639,2.98326,0.385112
2.64,3.00012,0.418757
2.641,2.99647,0.43253
2.642,2.99966,0.437638
2.643,3.01883,0.476315
2.644,3.00429,0.473752
2.645,3.01492,0.483017
2.646,3.03673,0.559948
2.647,3.03151,0.541758
2.648,3.03165,0.54244
2.649,3.03229,0.55681
2.65,3.0326,0.558508
2.651,3.03628,0.574733
2.652,3.03789,0.608486
2.653,3.02721,0.608017
2.654,3.03856,0.624205
2.655,3.03184,0.634791
2.656,3.02916,0.671736
2.657,3.03676,0.684346
2.658,3.03788,0.686296
2.659,3.02731,0.685816
2.66,3.02641,0.687342
2.661,3.03652,0.690507
2.662,3.04497,0.712948
2.663,3.044,0.714143
2.664,3.04405,0.718335
2.665,3.04346,0.752736
2.666,3.03703,0.743203
2.667,3.04659,0.754892
2.668,3.04325,0.755441
2.669,3.03232,0.792198
2.67,3.04867,0.799179
2.671,3.02597,0.795787
2.672,3.05271,0.81141
2.673,3.04349,0.811707
2.674,3.04937,0.825934
2.675,3.04968,0.863475
2.676,3.04631,0.851294
2.677,3.05673,0.863664
2.678,3.04933,0.879007
2.679,3.06777,0.877886
2.68,3.05486,0.890995
2.681,3.06439,0.891843
2.682,3.06663,0.905887
2.683,3.07679,0.914617
2.684,3.07103,0.913009
2.685,3.09,0.946496
2.686,3.09248,0.94735
2.687,3.0939,0.94965
2.688,3.08207,0.941711
2.689,3.081,0.941355
2.69,3.09585,0.95973
2.691,3.09736,0.961823
2.692,3.0834,0.952248
2.693,3.08274,0.952372
2.694,3.09294,0.964316
2.695,3.08703,0.991258
2.696,3.08258,0.980445
2.697,3.08583,0.96204
2.698,3.07793,0.975745
2.699,3.08537,0.979452
2.7,3.0831,0.995884
2.701,3.06999,0.989164
2.702,3.07502,0.985349
2.703,3.09352,0.972451
2.704,3.0809,0.95947
2.705,3.09232,0.977303
2.706,3.08988,0.979207
2.707,3.0849,0.973583
2.708,3.09986,0.978353
2.709,3.09443,0.95675
2.71,3.11165,0.972045
2.711,3.11093,0.957074
2.712,3.11721,0.961352
2.713,3.11798,0.962041
2.714,3.1133,0.962442
2.715,3.11987,0.966751
2.716,3.1048,0.930035
2.717,3.12241,0.958208
2.718,3.10804,0.943521
2.719,3.10935,0.940571
2.72,3.11313,0.950441
2.721,3.11048,0.919516
2.722,3.10219,0.909635
2.723,3.10153,0.90904
2.724,3.11092,0.920715
2.725,3.10426,0.914994
2.726,3.1037,0.915062
2.727,3.111,0.91973
2.728,3.10407,0.896965
2.729,3.11185,0.882713
2.73,3.09948,0.855674
2.731,3.11273,0.863993
2.732,3.10083,0.831179
2.733,3.10867,0.793214
2.734,3.11126,0.798224
2.735,3.11149,0.800789
2.736,3.10948,0.774349
2.737,3.10012,0.774401
2.738,3.10874,0.769521
2.739,3.10006,0.76869
2.74,3.10562,0.761892
2.741,3.08832,0.694599
2.742,3.08995,0.679375
2.743,3.10776,0.705024
2.744,3.09872,0.700271
2.745,3.10294,0.692961
2.746,3.10547,0.69629
2.747,3.10199,0.660663
2.748,3.09754,0.631499
2.749,3.1083,0.628443
2.75,3.10588,0.613918
2.751,3.09889,0.576616
2.752,3.10772,0.572054
2.753,3.09744,0.570883
2.754,3.10963,0.554055
2.755,3.10437,0.540254
2.756,3.09773,0.529334
2.757,3.0969,0.51968
2.758,3.09242,0.496579
2.759,3.08999,0.48296
2.76,3.08928,0.479021
2.761,3.06645,0.363729
2.762,3.08553,0.373455
2.763,3.0868,0.373086
2.764,3.06895,0.361123
2.765,3.08281,0.344866
2.766,3.07752,0.344679
2.767,3.08555,0.331948
2.768,3.07338,0.324969
2.769,3.08258,0.323158
2.77,3.0728,0.31412
2.771,3.06895,0.257664
2.772,3.06359,0.257379
2.773,3.07578,0.217641
2.774,3.0758,0.231967
2.775,3.07692,0.164489
2.776,3.07167,0.168551
2.777,3.08679,0.140527
2.778,3.07452,0.132581
2.779,3.08541,0.0565857
2.78,3.08816,0.0546032
2.781,3.08032,0.0489224
2.782,3.07886,0.0296852
2.783,3.07166,0.0222824
2.784,3.06844,-0.000927148
2.785,3.07076,-0.00497752
2.786,3.06649,-0.0133652
2.787,3.06315,-0.0580604
2.788,3.05564,-0.0644896
2.789,3.05648,-0.090983
2.79,3.05748,-0.100437
2.791,3.0565,-0.214467
2.792,3.04731,-0.226245
2.793,3.0474,-0.228009
2.794,3.04645,-0.231196
2.795,3.05289,-0.232143
2.796,3.04717,-0.248354
2.797,3.05366,-0.248789
2.798,3.04891,-0.26032
2.799,3.04812,-0.261725
2.8,3.05588,-0.261382
2.801,3.06582,-0.354862
2.802,3.0714,-0.348251
2.803,3.06565,-0.356167
2.804,3.0822,-0.35715
2.805,3.05086,-0.428247
2.806,3.07171,-0.414008
2.807,3.04896,-0.489476
2.808,3.06789,-0.493539
2.809,3.05941,-0.498864
2.81,3.06728,-0.500607
2.811,3.06069,-0.538216
2.812,3.07485,-0.527595
2.813,3.06482,-0.543938
2.814,3.06065,-0.552691
2.815,3.06837,-0.598191
2.816,3.04722,-0.607793
2.817,3.06521,-0.610399
2.818,3.06341,-0.628829
2.819,3.06171,-0.636427
2.82,3.06441,-0.65938
2.821,3.05446,-0.678849
2.822,3.06942,-0.685506
2.823,3.07056,-0.686311
2.824,3.0585,-0.693998
2.825,3.06272,-0.702277
2.826,3.0552,-0.78116
2.827,3.0593,-0.780109
2.828,3.07802,-0.753972
2.829,3.06138,-0.766405
2.83,3.07324,-0.785664
2.831,3.06672,-0.787548
2.832,3.06623,-0.810685
2.833,3.07911,-0.82046
2.834,3.06403,-0.846687
2.835,3.07565,-0.848278
2.836,3.07498,-0.86273
2.837,3.08171,-0.881841
2.838,3.0827,-0.89391
2.839,3.08548,-0.89191
2.84,3.11166,-0.921022
2.841,3.09006,-0.953402
2.842,3.08843,-0.956768
2.843,3.11021,-0.938392
2.844,3.1117,-0.939167
2.845,3.09555,-0.952168
2.846,3.09511,-0.953775
2.847,3.10299,-0.952322
2.848,3.10393,-0.952697
2.849,3.09572,-0.962828
2.85,3.10007,-0.96502
2.851,3.06435,-1.03961
2.852,3.07936,-1.01491
2.853,3.071,-1.00471
2.854,3.08606,-1.01077
2.855,3.0901,-0.995538
2.856,3.09586,-0.977879
2.857,3.10517,-0.981269
2.858,3.09832,-1.02181
2.859,3.10608,-1.01008
2.86,3.10186,-1.01376
2.861,3.09507,-1.0332
2.862,3.09466,-1.04118
2.863,3.1011,-1.05465
2.864,3.09442,-1.05238
2.865,3.10341,-1.05164
2.866,3.11482,-1.05715
2.867,3.11424,-1.05389
2.868,3.10489,-1.06348
2.869,3.11415,-1.06048
2.87,3.11402,-1.08452
2.871,3.11371,-1.08751
2.872,3.11761,-1.06816
2.873,3.1415,-1.05087
2.874,3.12362,-1.07525
2.875,3.1399,-1.04773
2.876,3.11936,-1.05921
2.877,3.1375,-1.04783
2.878,3.13848,-1.04878
2.879,3.12699,-1.05083
2.88,3.1258,-1.05224
2.881,3.14434,-1.03867
2.882,3.12556,-1.04294
2.883,3.11449,-1.06075
2.884,3.12686,-1.03778
2.885,3.11885,-1.00505
2.886,3.10881,-1.01453
2.887,3.10715,-1.01601
2.888,3.12482,-1.00559
2.889,3.12965,-1.00329
2.89,3.12467,-1.00645
2.891,3.13112,-0.985223
2.892,3.12744,-0.984632
2.893,3.13455,-0.965846
2.894,3.13493,-0.964227
2.895,3.1388,-0.947589
2.896,3.13456,-0.949837
2.897,3.13469,-0.931977
2.898,3.12322,-0.921618
2.899,3.1235,-0.915759
2.9,3.12435,-0.900634
2.901,3.11591,-0.902948
2.902,3.12141,-0.890071
2.903,3.11786,-0.87673
2.904,3.11871,-0.866228
2.905,3.12177,-0.84943
2.906,3.12084,-0.791714
2.907,3.12398,-0.790321
2.908,3.12341,-0.790583
2.909,3.12825,-0.785105
2.91,3.12913,-0.784902
2.911,3.13065,-0.78449
2.912,3.11737,-0.787904
2.913,3.11633,-0.789234
2.914,3.12912,-0.776159
