time,cD,cL
0.179,2.99228,-0.00512156
0.18,2.99246,-0.00486637
0.181,2.99886,-0.0103593
0.182,2.99692,-0.006463
0.183,3.00057,-0.00697051
0.184,3.00205,-0.00408591
0.185,3.00164,-0.0101427
0.186,3.00225,-0.00655736
0.187,3.00667,-0.00852341
0.188,3.00818,-0.00672883
0.189,3.0083,-0.00647112
0.19,3.00801,-0.00941921
0.191,3.00816,-0.00927793
0.192,3.00726,-0.0101605
0.193,3.0068,-0.0105409
0.194,3.01186,-0.00667208
0.195,3.01011,-0.0093372
0.196,3.04489,-0.00705619
0.197,3.03957,-0.0125439
0.198,3.03871,-0.00877517
0.199,3.03542,-0.00966043
0.2,3.02982,-0.0105601
0.201,3.02878,-0.00874875
0.202,3.02268,-0.0107371
0.203,3.02157,-0.00901589
0.204,3.01625,-0.0109976
0.205,2.97639,-0.0136649
0.206,2.98756,-0.0140367
0.207,2.99229,-0.0109699
0.208,2.99374,-0.013578
0.209,3.01485,-0.00998484
0.21,3.01688,-0.0124979
0.211,3.02268,-0.0101905
0.212,3.03149,-0.0149107
0.213,3.03112,-0.0151998
0.214,3.03572,-0.0116109
0.215,3.0365,-0.0152112
0.216,3.03886,-0.0134214
0.217,3.03683,-0.0171972
0.218,3.03687,-0.017495
0.219,3.03217,-0.0121309
0.22,3.03344,-0.0149547
0.221,3.02901,-0.0132029
0.222,3.0109,-0.0128458
0.223,3.01082,-0.0152321
0.224,3.00572,-0.012454
0.225,3.00553,-0.0122796
0.226,3.00837,-0.014384
0.227,3.00307,-0.0141377
0.228,2.97695,-0.030025
0.229,2.97269,-0.0231844
0.23,2.97422,-0.0317656
0.231,2.97293,-0.0238591
0.232,2.97261,-0.0289746
0.233,2.97308,-0.0210019
0.234,2.97307,-0.0205615
0.235,2.97179,-0.0271435
0.236,2.97445,-0.0193134
0.237,2.97722,-0.0176031
0.238,2.97679,-0.0182105
0.239,2.9803,-0.0114596
0.24,2.98806,-0.0161491
0.241,2.99036,-0.0124911
0.242,3.00028,-0.0216234
0.243,3.00244,-0.01782
0.244,3.00648,-0.0230548
0.245,3.05246,-0.0322879
0.246,3.05665,-0.0365519
0.247,3.04314,-0.0377398
0.248,3.0422,-0.0362686
0.249,3.00648,-0.0326926
0.25,3.00282,-0.0316066
0.251,2.9922,-0.0301879
0.252,2.99229,-0.0305391
0.253,2.99535,-0.027642
0.254,2.98527,-0.028256
0.255,2.9855,-0.0285829
0.256,2.98585,-0.0255466
0.257,2.95775,-0.0248983
0.258,2.95784,-0.0249291
0.259,2.91947,-0.0313215
0.26,2.91926,-0.0246752
0.261,2.929,-0.0309126
0.262,2.95368,-0.0275823
0.263,2.94663,-0.0343704
0.264,2.95156,-0.0297394
0.265,2.94236,-0.0362036
0.266,2.94169,-0.0367187
0.267,2.94846,-0.0309211
0.268,2.94256,-0.0355308
0.269,2.94679,-0.0332567
0.27,2.94993,-0.0374885
